Epoch 001 | train_loss=2.1423 train_acc=0.8799 | val_loss=2.1403 val_acc=0.8873
Epoch 002 | train_loss=1.9955 train_acc=0.8957 | val_loss=1.9921 val_acc=0.8930
Epoch 003 | train_loss=1.8620 train_acc=0.8994 | val_loss=1.8572 val_acc=0.9014
Epoch 004 | train_loss=1.7410 train_acc=0.8948 | val_loss=1.7346 val_acc=0.8901
Epoch 005 | train_loss=1.6315 train_acc=0.8939 | val_loss=1.6243 val_acc=0.8930
Epoch 006 | train_loss=1.5324 train_acc=0.8892 | val_loss=1.5244 val_acc=0.8873
Epoch 007 | train_loss=1.4431 train_acc=0.8920 | val_loss=1.4341 val_acc=0.8873
Epoch 008 | train_loss=1.3623 train_acc=0.9050 | val_loss=1.3527 val_acc=0.8958
Epoch 009 | train_loss=1.2894 train_acc=0.9097 | val_loss=1.2790 val_acc=0.9014
Epoch 010 | train_loss=1.2235 train_acc=0.9125 | val_loss=1.2123 val_acc=0.9014
Epoch 011 | train_loss=1.1637 train_acc=0.9162 | val_loss=1.1518 val_acc=0.9014
Epoch 012 | train_loss=1.1096 train_acc=0.9143 | val_loss=1.0971 val_acc=0.9014
Epoch 013 | train_loss=1.0603 train_acc=0.9218 | val_loss=1.0475 val_acc=0.9070
Epoch 014 | train_loss=1.0155 train_acc=0.9218 | val_loss=1.0027 val_acc=0.9099
Epoch 015 | train_loss=0.9747 train_acc=0.9227 | val_loss=0.9614 val_acc=0.9070
Epoch 016 | train_loss=0.9370 train_acc=0.9264 | val_loss=0.9236 val_acc=0.9099
Epoch 017 | train_loss=0.9025 train_acc=0.9264 | val_loss=0.8891 val_acc=0.9070
Epoch 018 | train_loss=0.8708 train_acc=0.9255 | val_loss=0.8574 val_acc=0.9127
Epoch 019 | train_loss=0.8414 train_acc=0.9264 | val_loss=0.8279 val_acc=0.9127
Epoch 020 | train_loss=0.8143 train_acc=0.9274 | val_loss=0.8007 val_acc=0.9127
Epoch 021 | train_loss=0.7892 train_acc=0.9283 | val_loss=0.7756 val_acc=0.9099
Epoch 022 | train_loss=0.7658 train_acc=0.9292 | val_loss=0.7522 val_acc=0.9070
Epoch 023 | train_loss=0.7441 train_acc=0.9292 | val_loss=0.7307 val_acc=0.9070
Epoch 024 | train_loss=0.7237 train_acc=0.9320 | val_loss=0.7104 val_acc=0.9127
Epoch 025 | train_loss=0.7047 train_acc=0.9339 | val_loss=0.6917 val_acc=0.9155
Epoch 026 | train_loss=0.6869 train_acc=0.9320 | val_loss=0.6737 val_acc=0.9127
Epoch 027 | train_loss=0.6702 train_acc=0.9330 | val_loss=0.6572 val_acc=0.9099
